AetheryteName,FlagX,FlagY,FlagZ,HasRealXYZ,MapName,RealX,RealY,RealZ,RecordedAt,TerritoryId,ZoneName
,-115.7,113.4,418.7,TRUE,Timeworn Dragonskin Map,-110.7,114,421.6,3/8/2026 18:56,397,Coerthas Western Highlands
,-101.3,95.6,-233.7,TRUE,Timeworn Archaeoskin Map,-100.9,97.4,-230.1,3/8/2026 17:24,397,Coerthas Western Highlands
,-43.8,91.3,-515.9,TRUE,Timeworn Dragonskin Map,-43.8,91.3,-515.7,3/8/2026 18:57,397,Coerthas Western Highlands
,16.6,102.1,116,TRUE,Timeworn Archaeoskin Map,17.1,102.1,116.3,3/8/2026 17:23,397,Coerthas Western Highlands
,25.2,215.3,238.3,TRUE,Timeworn Wyvernskin Map,25.5,215.3,238.1,3/8/2026 17:53,397,Coerthas Western Highlands
,116.9,222.6,525.6,TRUE,Timeworn Archaeoskin Map,117,222.6,525.6,3/8/2026 17:30,397,Coerthas Western Highlands
,277.9,169.9,-561.4,TRUE,Timeworn Wyvernskin Map,277.8,169.9,-561.4,3/8/2026 17:55,397,Coerthas Western Highlands
,331.4,167.7,-580.2,TRUE,Timeworn Archaeoskin Map,331.4,167.7,-580,3/8/2026 17:28,397,Coerthas Western Highlands
,331.4,148.3,-349.5,TRUE,Timeworn Dragonskin Map,331.5,148.3,-349.4,3/8/2026 19:01,397,Coerthas Western Highlands
,361.4,182,518.9,TRUE,Timeworn Archaeoskin Map,361.4,181.9,518.9,3/8/2026 17:30,397,Coerthas Western Highlands
,397.7,117.6,62.1,TRUE,Timeworn Archaeoskin Map,397.5,117.5,62,3/8/2026 17:27,397,Coerthas Western Highlands
,536.7,133.9,-835.6,TRUE,Timeworn Wyvernskin Map,537,133.9,-836.1,3/8/2026 17:54,397,Coerthas Western Highlands
,557.8,206.7,-158.7,TRUE,Timeworn Wyvernskin Map,563.7,206.1,-166.8,3/8/2026 17:56,397,Coerthas Western Highlands
,616.1,131.6,-741.5,TRUE,Timeworn Dragonskin Map,615.9,131.6,-741.5,3/8/2026 19:22,397,Coerthas Western Highlands
,659.1,130.8,-603.8,TRUE,Timeworn Wyvernskin Map,659,130.8,-603.9,3/8/2026 17:55,397,Coerthas Western Highlands
,675.2,210.3,-318.9,TRUE,Timeworn Wyvernskin Map,675.6,210.3,-318.7,3/8/2026 17:56,397,Coerthas Western Highlands
,719.9,204.9,208.7,TRUE,Timeworn Dragonskin Map,720.2,207.7,212,3/8/2026 19:00,397,Coerthas Western Highlands
,-428.2,12.2,301.6,TRUE,Timeworn Boarskin Map,-428.1,12.2,301.6,3/8/2026 5:02,152,East Shroud
,-408,0.3,87.5,TRUE,Timeworn Leather Map,-408,0.3,87.5,3/7/2026 18:30,152,East Shroud
,-343.5,-1,248.7,TRUE,Unhidden Leather Map,-343.7,-1.1,248.6,3/8/2026 16:12,152,East Shroud
,-315,18,384.1,TRUE,Timeworn Leather Map,-314.9,18.2,384.6,3/7/2026 18:31,152,East Shroud
,-296,11.6,-22.2,TRUE,Mysterious Map,-296.1,11.6,-22.3,3/8/2026 6:47,152,East Shroud
,-276.3,6.2,108,TRUE,Timeworn Toadskin Map,-276.3,6.2,108,3/8/2026 2:21,152,East Shroud
,-204.3,15.5,13.4,TRUE,Timeworn Goatskin Map,-204.4,15.5,13.3,3/7/2026 19:15,152,East Shroud
,-191.3,46.4,-105.4,TRUE,Timeworn Boarskin Map,-191.3,46.4,-105.3,3/8/2026 5:01,152,East Shroud
,-178.1,-1,164.3,TRUE,Timeworn Peisteskin Map,-177.9,-1,163.7,3/8/2026 5:49,152,East Shroud
,-62.8,-10.7,278.1,TRUE,Thorne Dynasty Map,-62.4,-10.7,277.8,3/8/2026 16:39,152,East Shroud
,-10.9,19.2,8.4,TRUE,Unhidden Leather Map,-10.9,19.2,8.4,3/8/2026 16:13,152,East Shroud
,3.4,-3.8,199.5,TRUE,Timeworn Goatskin Map,3.4,-3.8,199.5,3/7/2026 19:14,152,East Shroud
,40.9,7.5,449,TRUE,Thorne Dynasty Map,41,7.5,449.1,3/8/2026 16:39,152,East Shroud
,42.2,7.4,435,TRUE,Timeworn Toadskin Map,42.1,7.4,435,3/8/2026 3:01,152,East Shroud
,57.9,2,182.7,TRUE,Timeworn Leather Map,48.9,1.5,171.9,3/8/2026 2:40,152,East Shroud
,114.7,11.9,468.1,TRUE,Timeworn Goatskin Map,114.5,11.8,468,3/7/2026 19:14,152,East Shroud
,195.8,-23.3,-532,TRUE,Mysterious Map,195.7,-23.4,-531.9,3/8/2026 6:49,152,East Shroud
,207.9,-2.8,74.9,TRUE,Timeworn Toadskin Map,207.7,-2.8,74.9,3/8/2026 2:21,152,East Shroud
,285.4,-5.5,23.5,TRUE,Timeworn Boarskin Map,285.4,-5.5,23.5,3/8/2026 5:00,152,East Shroud
,350.3,-3.6,-32.7,TRUE,Timeworn Peisteskin Map,350.1,-3.6,-32.5,3/8/2026 5:51,152,East Shroud
,361.5,-19.1,-152.2,TRUE,Timeworn Peisteskin Map,361.3,-19.1,-152.1,3/8/2026 5:50,152,East Shroud
,-329,45.1,437.2,TRUE,Unhidden Leather Map,-327.5,45.7,440.9,3/8/2026 16:21,137,Eastern La Noscea
,-264.7,48.6,226.3,TRUE,Thorne Dynasty Map,-264.5,48.7,226.4,3/8/2026 16:47,137,Eastern La Noscea
,-245,59.9,160.6,TRUE,Timeworn Boarskin Map,-246.1,61.7,156.2,3/8/2026 5:15,137,Eastern La Noscea
,-222.2,44.9,490.2,TRUE,Mysterious Map,-217.1,45.6,486.6,3/8/2026 7:21,137,Eastern La Noscea
,-199.4,48.7,590.5,TRUE,Timeworn Leather Map,-199.6,48.8,590.9,3/7/2026 18:41,137,Eastern La Noscea
,-161,62.9,688.7,TRUE,Timeworn Peisteskin Map,-161,62.9,688.8,3/8/2026 6:04,137,Eastern La Noscea
,-155.2,48,169,TRUE,Timeworn Goatskin Map,-155.1,47.9,169.2,3/7/2026 19:28,137,Eastern La Noscea
,-99.4,63.7,684.2,TRUE,Timeworn Toadskin Map,-99.4,63.7,684.1,3/8/2026 3:03,137,Eastern La Noscea
,52.9,57.2,105.6,TRUE,Timeworn Leather Map,52.6,57.3,105.1,3/7/2026 18:41,137,Eastern La Noscea
,116.6,70,15.5,TRUE,Timeworn Peisteskin Map,116.7,70,15.5,3/8/2026 6:02,137,Eastern La Noscea
,234.3,54.4,619.6,TRUE,Timeworn Toadskin Map,234.2,54.4,619.6,3/8/2026 3:04,137,Eastern La Noscea
,256.3,46.9,681.7,TRUE,Timeworn Boarskin Map,255.4,47.5,684.7,3/8/2026 5:15,137,Eastern La Noscea
,269.1,43.2,524.1,TRUE,Timeworn Leather Map,269.2,43.2,524.1,3/7/2026 18:40,137,Eastern La Noscea
,310.2,42.2,181.9,TRUE,Timeworn Boarskin Map,310.2,42.2,181.9,3/8/2026 5:16,137,Eastern La Noscea
,342.9,29.2,466.9,TRUE,Unhidden Leather Map,342.8,29.2,466.9,3/8/2026 16:20,137,Eastern La Noscea
,352.7,28,710.3,TRUE,Timeworn Toadskin Map,352.7,28,710.2,3/8/2026 3:04,137,Eastern La Noscea
,405.6,19.8,743.9,TRUE,Timeworn Goatskin Map,405.5,19.7,743.6,3/7/2026 19:26,137,Eastern La Noscea
,401.3,34.7,147.3,TRUE,Timeworn Goatskin Map,409.3,35,147,3/7/2026 19:28,137,Eastern La Noscea
,428.7,76.2,-43,TRUE,Timeworn Peisteskin Map,428.8,76.2,-43.1,3/8/2026 6:05,137,Eastern La Noscea
,450.4,13.2,310.1,TRUE,Mysterious Map,450.4,13.2,310.3,3/8/2026 6:59,137,Eastern La Noscea
,520.4,41.1,549.3,TRUE,Thorne Dynasty Map,520.2,41.3,549.5,3/8/2026 16:48,137,Eastern La Noscea
,-545.9,-7.6,-163.7,TRUE,Mysterious Map,-545.8,-7.6,-163.7,3/8/2026 16:00,145,Eastern Thanalan
,-544.5,-17.7,79.5,TRUE,Timeworn Boarskin Map,-544.5,-17.7,79.5,3/8/2026 5:35,145,Eastern Thanalan
,-346.3,-22.6,411.1,TRUE,Thorne Dynasty Map,-346.1,-22.6,411.3,3/8/2026 16:57,145,Eastern Thanalan
,-340.5,-12,-248.6,TRUE,Timeworn Boarskin Map,-340.5,-12,-248.8,3/8/2026 5:34,145,Eastern Thanalan
,-331,-19.2,-110.6,TRUE,Timeworn Leather Map,-331.6,-19.3,-110.6,3/7/2026 19:01,145,Eastern Thanalan
,-284,-32.9,255.1,TRUE,Unhidden Leather Map,-284.2,-32.9,255,3/8/2026 16:30,145,Eastern Thanalan
,-237.3,-38.6,-3.8,TRUE,Unhidden Leather Map,-237.2,-38.6,-3.7,3/8/2026 16:31,145,Eastern Thanalan
,-235,-34.1,434.6,TRUE,Timeworn Toadskin Map,-235,-34.1,434.6,3/8/2026 4:41,145,Eastern Thanalan
,-228.6,-37.8,122.4,TRUE,Timeworn Toadskin Map,-228.6,-37.8,122.4,3/8/2026 4:44,145,Eastern Thanalan
,-134.7,-42,112.8,TRUE,Timeworn Goatskin Map,-135,-42,113,3/8/2026 2:11,145,Eastern Thanalan
,-132.8,-36.8,157.9,TRUE,Thorne Dynasty Map,-132.6,-36.8,157.7,3/8/2026 16:58,145,Eastern Thanalan
,-114.4,-29.7,-32.1,TRUE,Timeworn Peisteskin Map,-114.5,-29.7,-32.1,3/8/2026 6:28,145,Eastern Thanalan
,-42.6,-18.8,368.5,TRUE,Timeworn Boarskin Map,-42.6,-18.8,368.4,3/8/2026 5:33,145,Eastern Thanalan
,91.8,-24.8,295.5,TRUE,Mysterious Map,91.6,-24.8,295.5,3/8/2026 15:58,145,Eastern Thanalan
,127,10.8,-147.5,TRUE,Timeworn Leather Map,128.4,12.5,-144.2,3/7/2026 19:00,145,Eastern Thanalan
,161.8,-3.7,47.6,TRUE,Timeworn Goatskin Map,162.4,-3.7,47.5,3/8/2026 2:09,145,Eastern Thanalan
,191.2,-27.4,203.9,TRUE,Timeworn Peisteskin Map,191.2,-27.4,204.1,3/8/2026 6:30,145,Eastern Thanalan
,261.3,7.8,-119.2,TRUE,Timeworn Leather Map,261.4,8.3,-129,3/7/2026 19:00,145,Eastern Thanalan
,287.9,2.4,-184.9,TRUE,Timeworn Toadskin Map,288.3,2.5,-184.8,3/8/2026 4:43,145,Eastern Thanalan
,397.8,21.6,-197.3,TRUE,Timeworn Goatskin Map,395.2,21.5,-206.3,3/8/2026 2:10,145,Eastern Thanalan
,452.7,-64.5,249.5,TRUE,Timeworn Peisteskin Map,452.8,-64.5,249.4,3/8/2026 6:30,145,Eastern Thanalan
,-480.3,-33.8,584.6,TRUE,Timeworn Ophiotauroskin Map,-480.3,-33.8,584.4,3/12/2026 20:59,961,Elpis
,-423.9,312.2,-635.2,TRUE,Timeworn Ophiotauroskin Map,-424.1,312.2,-635.2,3/12/2026 20:57,961,Elpis
,-230.3,-44.7,478.5,TRUE,Timeworn Ophiotauroskin Map,-226.5,-43.9,474.5,3/12/2026 20:49,961,Elpis
,54,7.3,158.1,TRUE,Timeworn Ophiotauroskin Map,54,7.2,158.1,3/12/2026 20:49,961,Elpis
,286.7,7,142.8,TRUE,Timeworn Ophiotauroskin Map,286.8,7,142.8,3/12/2026 20:48,961,Elpis
,378.4,147.7,-196.2,TRUE,Timeworn Ophiotauroskin Map,378.5,147.7,-196.3,3/12/2026 20:54,961,Elpis
,422.3,150.7,-598.2,TRUE,Timeworn Ophiotauroskin Map,422.3,150.7,-598.3,3/12/2026 20:55,961,Elpis
,784.1,152.1,-145.1,TRUE,Timeworn Ophiotauroskin Map,784.3,152.2,-145.2,3/12/2026 21:08,961,Elpis
,-695.7,23.1,-621.3,TRUE,Timeworn Saigaskin Map,-695.7,23.1,-621.5,3/12/2026 19:45,958,Garlemald
,-482,45.7,212.2,TRUE,Timeworn Kumbhiraskin Map,-482.1,45.8,212.4,3/12/2026 20:30,958,Garlemald
,-413.8,17.1,51.7,TRUE,Timeworn Saigaskin Map,-413.7,17.1,51.9,3/12/2026 19:52,958,Garlemald
,-265.4,12.9,-180.4,TRUE,Timeworn Kumbhiraskin Map,-265.4,12.9,-180.4,3/12/2026 20:30,958,Garlemald
,-253.4,10.8,-464.5,TRUE,Timeworn Kumbhiraskin Map,-253.4,10.8,-464.5,3/12/2026 20:28,958,Garlemald
,-179.9,6.8,587.7,TRUE,Timeworn Saigaskin Map,-179.8,6.8,587.6,3/12/2026 19:51,958,Garlemald
,-163.7,10.6,-82.9,TRUE,Timeworn Saigaskin Map,-163.7,10.6,-82.8,3/12/2026 19:47,958,Garlemald
,127.3,-13.7,326.4,TRUE,Timeworn Saigaskin Map,127.3,-13.7,326.4,3/12/2026 19:46,958,Garlemald
,195.7,23.6,-451.2,TRUE,Timeworn Kumbhiraskin Map,195.1,23.6,-451.3,3/12/2026 20:26,958,Garlemald
,234.5,6.2,-4.7,TRUE,Timeworn Saigaskin Map,234.5,6.2,-4.5,3/12/2026 19:50,958,Garlemald
,335.7,-8.8,250.5,TRUE,Timeworn Kumbhiraskin Map,336.4,-8.8,250.6,3/12/2026 20:31,958,Garlemald
,389.6,-19.5,374,TRUE,Timeworn Saigaskin Map,389.1,-18.7,379.3,3/12/2026 19:50,958,Garlemald
,393.7,-18.8,697.7,TRUE,Timeworn Kumbhiraskin Map,393.8,-18.8,698.2,3/12/2026 20:32,958,Garlemald
,553.7,11.8,-805.8,TRUE,Timeworn Saigaskin Map,553.6,11.8,-805.7,3/12/2026 19:48,958,Garlemald
,639.4,15.8,-574.9,TRUE,Timeworn Kumbhiraskin Map,639.5,15.9,-574.9,3/12/2026 20:26,958,Garlemald
,649.2,13.3,-207.9,TRUE,Timeworn Kumbhiraskin Map,649.9,13.5,-207.7,3/12/2026 20:29,958,Garlemald
,-623.5,21,-11.4,TRUE,Timeworn Br'aaxskin Map,-623.4,21,-11.4,3/13/2026 2:15,1191,Heritage Found
,-537.9,5.9,96.9,TRUE,Timeworn Loboskin Map,-538.2,5.8,97,3/12/2026 21:21,1191,Heritage Found
,-280.5,61,-276.5,TRUE,Timeworn Loboskin Map,-280.5,61,-276.7,3/12/2026 21:23,1191,Heritage Found
,-241.6,21.3,-419.3,TRUE,Timeworn Br'aaxskin Map,-242.6,21.2,-426.9,3/12/2026 23:12,1191,Heritage Found
,-231,-5.1,717.2,TRUE,Timeworn Br'aaxskin Map,-231,-5.1,717.2,3/12/2026 23:11,1191,Heritage Found
,-211.3,28.8,38,TRUE,Timeworn Br'aaxskin Map,-211.3,28.9,37.6,3/12/2026 23:12,1191,Heritage Found
,-148,16.8,658.9,TRUE,Timeworn Loboskin Map,-148,16.8,659.1,3/12/2026 21:19,1191,Heritage Found
,-132.6,24.1,-790.1,TRUE,Timeworn Loboskin Map,-132.5,24.1,-790.2,3/12/2026 21:23,1191,Heritage Found
,34.5,92.4,-117,TRUE,Timeworn Br'aaxskin Map,34.7,92.4,-117.1,3/13/2026 2:15,1191,Heritage Found
,197.9,94.9,183.8,TRUE,Timeworn Loboskin Map,197.5,96.6,179.9,3/12/2026 21:20,1191,Heritage Found
,222.2,84.9,-426,TRUE,Timeworn Loboskin Map,222.1,84.9,-426,3/12/2026 21:24,1191,Heritage Found
,235.3,90.9,703.8,TRUE,Timeworn Loboskin Map,235.4,90.9,703.8,3/12/2026 21:20,1191,Heritage Found
,239.1,115.8,467.9,TRUE,Timeworn Br'aaxskin Map,239,115.8,468,3/12/2026 23:10,1191,Heritage Found
,484.9,131.4,-653.3,TRUE,Timeworn Br'aaxskin Map,485.1,131.4,-653.5,3/13/2026 2:16,1191,Heritage Found
,643.1,125.9,-580,TRUE,Timeworn Loboskin Map,643,125.8,-580,3/12/2026 21:25,1191,Heritage Found
,719.3,148,205.6,TRUE,Timeworn Br'aaxskin Map,719.7,148,205.8,3/13/2026 2:12,1191,Heritage Found
,-860,24.6,200,TRUE,Timeworn Gliderskin Map,-860.4,24.6,199.5,3/12/2026 17:07,816,Il Mheg
,-750,23.2,-40,TRUE,Timeworn Gliderskin Map,-749.8,23.2,-40.4,3/12/2026 17:08,816,Il Mheg
,-740,59,370,TRUE,Timeworn Gliderskin Map,-740.2,58.9,369.7,3/12/2026 17:07,816,Il Mheg
,-706.1,36.9,-200,TRUE,Timeworn Zonureskin Map,-706.1,36.9,-200,3/12/2026 18:41,816,Il Mheg
,-550,73.9,-420,TRUE,Timeworn Zonureskin Map,-552,75.6,-417.5,3/12/2026 18:41,816,Il Mheg
,-430,119.4,790,TRUE,Timeworn Gliderskin Map,-430.2,119.4,790,3/12/2026 17:06,816,Il Mheg
,-430,0.9,-45,TRUE,Timeworn Zonureskin Map,-429.8,0.9,-44.4,3/12/2026 18:42,816,Il Mheg
,-362.6,24.9,302.3,TRUE,Timeworn Zonureskin Map,-361,26.2,297.3,3/12/2026 18:44,816,Il Mheg
